STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,23.8232931726917,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,18.4096024006009,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,12.9172382258807,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,13.1424236677416,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2020,,9.79988228369522,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2021,,18.1015752308529,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,BEL,Belgium,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2022,,10.6438213914858,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2015,,9.5724537956387,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,9.71787337752168,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,9.72230203424888,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,11.4514737121615,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,7.50649823076161,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2020,,13.0968540832532,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2021,,13.2542922655332,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CAN,Canada,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2022,,12.9884036178889,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2015,,19.7718631178707,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,21.256038647343,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,19.6261682242991,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,23.5295849278775,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,18.5832566697332,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2020,,19.9715935123247,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2021,,7.77855949344783,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CHL,Chile,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2022,,19.3297518546943,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2015,,3.7037037037037,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,16.1260639521509,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,23.4229828850848,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,14.8178137651822,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2020,,16.4705882352941,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2021,,25.5513123330606,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2022,,19.5804862545686,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,COL,Colombia,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2023,,10.8289225596874,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CRI,Costa Rica,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2023,,0,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CRI,Costa Rica,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2019,,10,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CRI,Costa Rica,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2016,,0,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CRI,Costa Rica,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2017,,0,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,CRI,Costa Rica,A,Annual,ENV_PAT,Environment-related technologies,PT_PATN,Percentage of patents,ONE,One and greater (all inventions),F,Female,2018,,0,,A,Normal value,0,Units,2,Two
