indicator,fr,es
"Proportion of total agricultural population with ownership or secure rights over agricultural land [5.a.1]","Proportion de la population agricole totale disposant de droits de propriété ou de droits garantis sur des terres agricoles",
"Share of women among owners or rights-bearers of agricultural land, by type of tenure [5.a.1]","Part des femmes parmi les propriétaires ou titulaires de droits sur des terres agricoles",
